name,x,y
제주공룡랜드,126.4323607,33.44277602
종달리수국길,126.909267,33.5089979
지니어스 로사이,126.9322309,33.42902055
테디베어뮤지엄제주,126.4121588,33.25030323
붉은오름 자연휴양림,126.6756706,33.40142876
제주현대미술관,126.2656919,33.33969288
형제섬,126.3142886,33.21001768
관음사,126.55875079999998,33.42172037
동굴의 다원 다희연[리모델링중],126.7005329,33.47927741
범섬,126.51414479999998,33.24314807
산방굴사,126.3139508,33.24239239
퍼시픽 리솜 마린스테이지,126.4155992,33.24504035
성산항,126.9299773,33.47247156
제주올레 8코스,126.3887523,33.23654976
제주해양동물박물관,126.8551274,33.42948623
혼인지,126.8940799,33.41484308
귤밭76번지,126.365148,33.28306218
"당산봉(당오름,차귀오름)",126.1721474,33.30749293
삼성혈,126.5285967,33.50545244
1100고지(휴게소),126.4624245,33.35784915
1100고지습지,126.4628965,33.35752454
레이저서바이벌M,126.4896544,33.48707988
물영아리오름,126.7169606,33.32670168
민속자연사박물관,126.5317241,33.50563037
법환포구,126.5157295,33.23786619
사계해안도로,126.3065141,33.23169414
서귀포항,126.564869,33.23890498
소천지,126.6027114,33.24175147
수월봉,126.163419,33.29476543
알작지해변,126.4412261,33.4961752
정물오름,126.33508909999998,33.33884112
제주베니스랜드,126.84087920000002,33.4161363
제주커피박물관 바움 Baum,126.8992119,33.43987482
종달리해안도로,126.9017092,33.482895500000005
터진목 & 성산면 4·3희생자 위령비,126.9223454,33.44995688
표선세화해안도로,126.8287399,33.3265291
넥슨컴퓨터박물관(3.1~31 업데이트 위한 임시휴관),126.4857998,33.47211995
더마파크,126.2415048,33.35553875
돈내코,126.5988504,33.32508143
서귀포자연휴양림,126.4587547,33.31150196
서귀포칠십리시공원,126.5534768,33.24601841
점보빌리지,126.3050805,33.27624821
제주곶자왈도립공원,126.2735717,33.28322215
제주목관아,126.5218039,33.51400171
추자도,126.3200969,33.947013500000004
한림해안도로,126.2906322,33.43361735
교래자연휴양림,126.65671100000002,33.45136457
금악오름(왕매),126.3055864,33.35569584
논짓물,126.3787175,33.24121093
북촌돌하르방미술관,126.6888123,33.5388475
사계해변,126.3065141,33.23169414
서귀포해안,126.51734679999998,33.26418649
연화못,126.3564878,33.44430858
우도잠수함(제주씨월드),126.9345061,33.47292799
제주다원 녹차미로공원,126.4224688,33.2937132
제주올레 10코스,126.2874865,33.20168176
제주올레 18코스,126.5963196,33.52865528
제주유리박물관,126.3701574,33.27851386
