plc,mean_vec
4.3,"[9.81627612e-02 1.37100981e-01 1.57903474e+00 4.39966046e-01
 2.61804962e-02 3.18708543e-01 1.25363606e-01 1.79092094e-01
 4.66342649e-01 1.37191376e-01 7.45370544e-01 7.23364662e-02
 1.36551198e+00 1.99810350e-01 5.50674887e-02 1.74189319e-01
 7.43630220e-02 6.28282316e-02 1.67903231e-02 1.60354851e-01
 1.17012455e-01 3.94955534e-01 2.57243974e-02 6.06227578e-02
 3.95738743e-01 6.62580599e-02 8.30874062e-02 3.42054560e-01
 2.14897185e+00 1.79370509e-01 4.57797528e-01 5.69380089e-02
 5.57188484e-02 1.10453916e+00 1.65533083e-01 2.03797551e-02
 3.92662323e-02 2.10812055e-01 2.09816293e-01 3.95713261e-01
 7.29730465e-02 3.07410506e-01 5.59369079e-01 2.28893871e-01
 2.40644577e-01 4.61770142e-01 1.65014387e-01 2.13026144e-01
 2.42558631e-01 8.03142320e-04 2.27273556e-02 5.26545003e-02
 1.17903136e-01 2.96010809e-02 4.96728531e-01 4.08258385e-02
 4.72996997e-01 2.02831737e-01 3.70147303e-01 5.17078231e-01
 5.65724858e-01 3.64145026e-02 1.74430078e-01 5.23583956e-02
 2.45973714e-01 1.17016374e-01 4.38585202e-02 7.64822330e-02
 1.38974897e-01 5.83353160e-02 1.13435639e-01 6.74136762e-01
 3.75035602e-02 2.13778724e-02 3.41468646e-02 3.04194980e-01
 2.78360314e-01 4.86922291e-02 1.14410817e-01 2.75648599e-01
 1.98193689e-02 2.16511283e-03 1.72429641e-01 4.80553968e-01
 6.59420352e-02 5.68312401e-01 3.35848837e-03 7.98379361e-01
 2.88259250e-01 1.34832462e-02 6.61611394e-02 1.48428281e-02
 1.58240461e-01 9.62569334e-01 9.50728927e-01 3.30348926e-01
 5.07532572e-01 2.04969869e-01 3.99691663e-01 1.71730683e-01
 1.05470632e-02 2.95989315e-01 7.70186999e-01 1.79318806e+00
 4.44081835e-02 6.64653574e-01 1.27167456e-01 3.85774085e-01
 2.15444118e-01 2.95040623e-02 1.20324681e-01 8.50781333e-02
 5.26334514e-02 4.00443070e-02 3.39460690e-01 2.70347186e-01
 3.80080668e-01 7.27853162e-01 1.65282025e-01 9.62246333e-01
 5.33935774e-01 5.66535767e-02 1.24143419e+00 3.77271119e-02
 4.97673026e-01 6.22263944e-03 1.61993341e-01 5.60918908e-01
 1.27033130e-01 1.58734334e-01 1.08651754e-02 2.57647364e-01
 4.07949458e-02 5.28917023e-01 5.03008366e-01 7.51771810e-02
 7.32372430e-02 1.02486487e-01 7.56422494e-01 9.54090646e-02
 2.49739407e-01 3.54580679e-01 8.18380444e-01 9.00725701e-03
 2.14791420e-01 4.19397070e-02 8.58991189e-01 2.11486657e-01
 1.64550636e-01 4.56755740e-02 5.65703257e-01 2.93687173e-01
 1.41293768e-01 3.74681608e-02 2.16095457e-01 3.34626173e-02
 1.24533199e-01 1.34078533e-01 1.07040684e-01 2.48885270e-02
 2.04231450e-01 8.95079674e-04 1.11542350e+00 1.68026576e-01
 5.19677341e-01 4.59341164e-01 2.42514266e+00 4.45842096e-02
 1.95687556e-01 9.49407925e-01 8.75132198e-03 3.14938908e-02
 3.41307814e-02 5.51202667e-01 3.43876408e-01 6.32883007e-02
 1.28750135e-01 6.91950175e-02 3.01644093e-02 1.33815643e+00
 4.43536058e-01 1.54443082e-01 1.74521550e+00 1.13763279e-01
 1.67877200e-03 3.55709156e-02 1.30401432e-01 1.24535042e-01
 1.80231334e-02 1.68320364e-01 1.17437582e+00 1.34022549e-01
 5.61818529e-01 1.11633912e-01 8.73678452e-02 8.04910080e-02
 3.51493812e-02 8.26022484e-01 3.84429819e-01 5.58663524e-02
 1.06260569e-01 1.99514532e-02 1.88512818e-01 3.91650181e-01
 7.04351938e-02 1.78628710e-01 3.86486218e-01 1.58329068e-01
 2.41923735e-01 7.18601069e-02 1.84478217e-01 2.47211503e-01
 4.16498249e-01 5.62117967e-04 1.43815400e-01 5.42348314e-02
 4.91181934e-01 1.61464989e-01 1.31380744e-02 4.28456859e-03
 1.66636983e-01 4.07904750e-02 4.72599733e-02 1.15734254e-01
 1.11095336e-01 3.27459530e-01 9.68017528e-02 1.02236460e+00
 1.69034577e-01 2.76816739e-01 2.34247487e-01 3.18014035e-02
 4.73765424e-01 4.78070653e-02 2.26886401e-01 8.85716068e-01
 1.33039436e-01 2.12167334e+00 3.82101628e-02 2.45314000e-01
 8.62776534e-02 7.17451074e-01 1.26668823e-01 2.63506589e-01
 1.19062734e-01 4.23523357e-02 8.64375579e-02 1.04818608e-01
 1.72746216e-01 7.22838433e-02 6.17561370e-01 1.01136596e+00
 1.87145904e-01 8.65861867e-02 4.84214105e-02 5.82924585e-01
 4.61034964e-01 3.38256189e-01 8.55338179e-01 2.12397627e-01
 1.46175470e-01 2.80536130e-01 8.81962716e-02 9.53831609e-02
 1.88882809e-01 1.91945092e-02 1.30032640e-01 8.12080567e-02
 2.05512642e-01 8.55085345e-02 7.21931505e-02 2.79689819e+00
 5.16951734e-02 2.54459873e-02 5.90515180e-02 1.58547291e-02
 4.90086648e-02 3.54361899e-01 2.04393850e-01 6.61538922e-02
 3.34104427e-01 3.85154262e-01 8.61400503e-02 4.92577616e-02
 1.17340578e-01 4.06722155e-02 2.97155949e-01 1.40730131e-01
 2.44191888e-01 2.14305830e-01 3.81882679e-01 4.80283339e-02
 6.09268738e-01 1.17676420e+00 3.98007669e-01 1.00325152e-01
 2.01626038e+00 9.09945317e-02 9.44478426e-02 1.18296345e+00]"
가을,"[0.65210563 0.26734542 0.25313658 0.18481011 0.08407989 0.1292759
 0.61503739 0.41840495 0.27817447 0.30341323 0.31854437 0.10800431
 0.28643042 0.44748581 0.57801743 0.15420485 0.2088688  0.39058269
 0.23486593 0.53959001 0.25939624 0.21857709 0.14068553 0.45627186
 0.25983749 0.30332776 0.14728342 0.54403564 0.23653334 0.23120284
 0.33413539 0.13721699 0.33831634 0.18366852 0.5043793  0.1900354
 0.07245721 0.25502356 0.25465385 0.11338648 0.09308954 0.38942694
 0.27138053 0.21955352 0.35936731 0.4065273  0.41438285 0.28452621
 0.40862292 0.12605681 0.44747661 0.179423   0.37569835 0.31542652
 0.27693643 0.33316046 0.3435231  0.11301855 0.21594656 0.28209189
 0.28649778 0.37991045 0.27651425 0.25091189 0.20059181 0.46487837
 0.02864906 0.037113   0.34199156 0.25599184 0.26195615 0.3311648
 0.04584346 0.0636692  0.31749863 0.66656951 0.31851291 0.14495583
 0.37432317 0.47067743 0.18982749 0.07741059 0.10880776 0.49798767
 0.24767476 0.26384476 0.09160597 0.35995276 0.27943297 0.08857147
 0.25915908 0.08163619 0.26906341 0.24304771 0.50087756 0.17461001
 0.25277211 0.40917973 0.37321808 0.31659551 0.12122146 0.44243494
 0.23290415 0.3279857  0.46981796 0.25100912 0.30270818 0.37768143
 0.38200127 0.1440827  0.15410316 0.19972987 0.3214231  0.32421762
 0.34754174 0.38474496 0.24303299 0.38468819 0.09812586 0.30832365
 0.24563341 0.32740928 0.20802829 0.10427011 0.38179938 0.24203022
 0.66285701 0.50278613 0.35747605 0.23758779 0.11094051 0.35708384
 0.14935906 0.24358157 0.36369619 0.25618368 0.4734667  0.30396277
 0.43449318 0.27746818 0.17400947 0.08636284 0.37038729 0.18332723
 0.34835665 0.3787008  0.36800438 0.17495328 0.21162973 0.19274709
 0.2197311  0.17063158 0.27959656 0.25206663 0.16615176 0.26103718
 0.35591785 0.4637669  0.31627223 0.35181547 0.43946838 0.11098078
 0.28647983 0.17635179 0.34595035 0.187622   0.31035246 0.13759406
 0.10747867 0.38913511 0.31954666 0.20410877 0.44934003 0.18984597
 0.26386123 0.22545233 0.26844698 0.05406854 0.5130783  0.28683391
 0.61610576 0.31656249 0.24912711 0.29763599 0.1602188  0.14885782
 0.26259718 0.15369543 0.10336339 0.29410192 0.32256127 0.45417244
 0.44399066 0.22578994 0.35426462 0.12360552 0.39945392 0.16876858
 0.29098196 0.45896628 0.25516299 0.10330538 0.53965403 0.15537822
 0.20255392 0.22633745 0.39131045 0.46476014 0.24884099 0.16157597
 0.03515771 0.18352654 0.66507901 0.18470668 0.28278799 0.32604776
 0.4010054  0.31468942 0.20289068 0.17484535 0.28965766 0.26823494
 0.19307197 0.15964662 0.21956036 0.61310431 0.28626833 0.21045447
 0.14780006 0.21319452 0.35508838 0.34035864 0.19214327 0.25301762
 0.205829   0.28421947 0.12558033 0.29816701 0.30039601 0.21096796
 0.33572948 0.24759031 0.20740462 0.29997709 0.26576454 0.31020089
 0.12850082 0.25609565 0.58557989 0.12505371 0.26283083 0.48677062
 0.08872191 0.40181516 0.49664015 0.30756643 0.17461916 0.44317714
 0.45778286 0.28740858 0.47802845 0.44719772 0.26583298 0.12835123
 0.10665993 0.08552147 0.27966419 0.19129941 0.15373397 0.33119041
 0.26447944 0.43097508 0.22680906 0.18050159 0.14378898 0.14252207
 0.46120008 0.45719073 0.38240021 0.46550159 0.27692652 0.28293606
 0.18609727 0.03452227 0.13962562 0.19288162 0.34067758 0.32449226
 0.36878389 0.35220956 0.38824717 0.25522362 0.43986548 0.52063367
 0.55837063 0.45813467 0.27693284 0.35244285 0.5080117  0.33678853]"
감귤,"[0.00000000e+00 5.33083856e-01 0.00000000e+00 8.71456563e-02
 2.30424210e-01 5.54854572e-01 2.33372506e-02 4.93829876e-01
 3.85836124e-01 7.46231258e-01 5.75671732e-01 4.21765596e-02
 0.00000000e+00 1.05189550e+00 2.30627999e-01 1.66931823e-01
 0.00000000e+00 1.13102300e-02 2.09140033e-02 7.62658194e-03
 0.00000000e+00 2.50049904e-02 3.11430931e-01 1.40054738e-02
 2.21217647e-01 7.72710741e-01 1.01228543e-01 0.00000000e+00
 1.97860047e-01 1.51881588e+00 1.42217770e-01 0.00000000e+00
 0.00000000e+00 6.89373434e-01 0.00000000e+00 7.14325383e-02
 7.54124373e-02 4.58077341e-01 0.00000000e+00 4.21293288e-01
 1.49661779e-01 3.91147546e-02 0.00000000e+00 6.05023563e-01
 7.39725649e-01 1.52491584e-01 0.00000000e+00 4.91764456e-01
 2.95543998e-01 0.00000000e+00 2.48208418e-01 1.20864166e-02
 0.00000000e+00 4.16123837e-01 1.66362524e-02 5.42726040e-01
 1.10413678e-01 1.04009444e-02 4.06730652e-01 6.80617243e-02
 4.24740314e-02 1.22207431e-02 1.01555549e-01 5.72856128e-01
 4.20500845e-01 4.11421545e-02 0.00000000e+00 1.10397696e-01
 3.96774203e-01 4.87346202e-01 1.16534000e-02 3.83124113e-01
 2.31935140e-02 7.49867499e-01 1.59199592e-02 7.27981985e-01
 5.06149173e-01 3.24716359e-01 7.28434920e-02 2.31248930e-01
 2.17990771e-01 5.72146177e-01 7.11355135e-02 1.28540248e-02
 5.84753036e-01 7.59736001e-01 2.54833013e-01 2.52347082e-01
 2.20228836e-01 0.00000000e+00 4.43446994e-01 0.00000000e+00
 1.10282934e+00 0.00000000e+00 5.30632377e-01 0.00000000e+00
 7.75914252e-01 0.00000000e+00 6.77580059e-01 2.16957942e-01
 0.00000000e+00 2.99773365e-02 1.06487262e+00 4.04744476e-01
 7.23969638e-01 1.82586670e-01 8.59327316e-01 1.78801656e-01
 6.21850342e-02 2.68047959e-01 1.68605566e-01 2.22842813e-01
 7.90220737e-01 2.86176294e-01 3.49216983e-02 2.28205875e-01
 8.05526748e-02 6.02076054e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 3.87994736e-01 9.41642821e-02 1.92575529e-02
 8.38359371e-02 4.16360050e-01 0.00000000e+00 1.29286990e-01
 1.65701762e-01 3.12624902e-01 8.64548266e-01 1.51528442e+00
 9.39938128e-02 3.65826994e-01 0.00000000e+00 0.00000000e+00
 3.09114844e-01 7.26996958e-01 1.53389677e-01 6.81680441e-01
 3.95329684e-01 0.00000000e+00 7.55508959e-01 0.00000000e+00
 4.64907020e-01 1.54675376e+00 5.30741632e-01 1.21453094e+00
 1.50446400e-01 6.64640367e-02 1.84924558e-01 0.00000000e+00
 2.19490901e-01 2.81685144e-01 1.75699770e-01 4.02280897e-01
 4.75674748e-01 3.72924924e-01 0.00000000e+00 1.22670949e+00
 0.00000000e+00 9.47986320e-02 1.47535475e-02 5.72554357e-02
 4.73734230e-01 3.50738503e-02 7.69256592e-01 9.69366953e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 6.45743787e-01
 1.72038794e-01 3.40812653e-01 2.09664643e-01 2.41364911e-01
 1.11953028e-01 3.83987240e-02 0.00000000e+00 1.64475203e-01
 2.56866068e-02 4.20937650e-02 4.61437972e-03 2.75904804e-01
 9.80382502e-01 0.00000000e+00 6.00138247e-01 8.87049496e-01
 0.00000000e+00 1.32279885e+00 5.98700456e-02 6.77058399e-01
 2.80736506e-01 3.12551945e-01 1.71915576e-01 8.21189284e-02
 0.00000000e+00 6.75419390e-01 0.00000000e+00 0.00000000e+00
 6.21125214e-02 5.38314320e-02 1.32666215e-01 6.88152388e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.76670805e-01
 4.16022927e-01 6.32447541e-01 8.44198689e-02 0.00000000e+00
 0.00000000e+00 1.87994719e+00 3.60228658e-01 0.00000000e+00
 0.00000000e+00 1.02422178e+00 8.21183145e-01 2.75347173e-01
 1.15557575e+00 9.51661393e-02 8.12870741e-01 1.28929228e-01
 0.00000000e+00 0.00000000e+00 2.93537021e-01 2.40213852e-02
 1.25738516e-01 0.00000000e+00 0.00000000e+00 1.73271731e-01
 4.70483571e-01 1.10073256e+00 4.67754871e-01 0.00000000e+00
 2.44407371e-01 4.12801169e-02 2.75294874e-02 1.95162892e-01
 0.00000000e+00 1.81194350e-01 3.70769650e-01 0.00000000e+00
 3.40927951e-02 9.39158425e-02 0.00000000e+00 1.85069129e-01
 2.64902323e-01 2.16902658e-01 1.20850407e-01 0.00000000e+00
 2.56530732e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.41326585e-02 1.41443178e-01 2.81803340e-01 9.16540101e-02
 9.16113257e-02 5.08475482e-01 2.61596054e-01 0.00000000e+00
 3.22257839e-02 3.81466257e-03 3.64251643e-01 7.54316524e-03
 4.00543176e-02 4.23025489e-01 1.73514172e-01 0.00000000e+00
 2.30060279e-01 0.00000000e+00 0.00000000e+00 2.45603323e-02
 4.28129643e-01 6.01520538e-02 8.86013508e-01 6.12920374e-02
 4.93826389e-01 1.83780193e-01 4.61673588e-02 9.04534832e-02
 0.00000000e+00 2.37748384e-01 2.05021743e-02 1.50626838e+00
 1.33621991e-01 6.42696440e-01 3.64309758e-01 6.84649885e-01
 1.42768456e-03 4.44232702e-01 0.00000000e+00 2.08938941e-01
 5.34212776e-02 0.00000000e+00 3.56227875e-01 0.00000000e+00]"
건물,"[5.42201474e-02 2.74108529e-01 9.41252708e-02 1.54398242e-02
 1.63934752e-02 7.99104929e-01 7.02224493e-01 6.35932207e-01
 2.80858368e-01 2.01204345e-01 6.33873880e-01 0.00000000e+00
 0.00000000e+00 1.89580753e-01 3.26581150e-01 9.62428004e-03
 0.00000000e+00 1.93448644e-02 2.59471953e-01 0.00000000e+00
 1.16826475e+00 1.81971088e-01 3.19081366e-01 2.27071255e-01
 1.78408131e-01 1.52614892e+00 9.03185755e-02 1.90730289e-01
 1.07176073e-01 6.90062761e-01 9.23813343e-01 2.29331255e-02
 4.16454643e-01 4.11206156e-01 1.11841119e-03 6.08415306e-01
 0.00000000e+00 9.50051472e-02 5.25630713e-02 3.23110163e-01
 0.00000000e+00 8.81434321e-01 3.08685955e-02 8.41704458e-02
 1.36668384e+00 4.82057966e-02 2.58094281e-01 2.63213009e-01
 1.95356235e-02 8.42763111e-02 3.50866802e-02 1.98491588e-01
 1.28722563e-01 2.29398668e-01 4.12733108e-02 5.79933897e-02
 1.92261577e-01 1.57654092e-01 2.05356628e-01 3.80666137e-01
 4.98896576e-02 1.16956875e-01 1.94451004e-01 3.51043463e-01
 2.16532886e-01 1.65506870e-01 0.00000000e+00 3.80186588e-02
 4.34496254e-01 4.07063127e-01 6.72781289e-01 6.36531234e-01
 0.00000000e+00 1.51961103e-01 6.18351027e-02 1.30875573e-01
 2.74931729e-01 3.82785499e-01 6.89758420e-01 6.66534454e-02
 1.12366056e+00 4.49689198e-03 8.11158642e-02 5.88507712e-01
 6.55052364e-01 9.94065166e-01 2.70212173e-01 1.49916679e-01
 8.01033378e-01 0.00000000e+00 7.01177955e-01 6.59005903e-03
 9.82178189e-03 3.39114845e-01 8.78621578e-01 2.28014439e-02
 1.10776961e+00 2.20851946e+00 1.33488728e-02 2.75397539e-01
 6.79465979e-02 4.10215884e-01 4.11687642e-01 3.86828244e-01
 7.68409252e-01 4.66856688e-01 4.48657125e-01 9.65508167e-03
 3.06647986e-01 1.25035360e-01 1.57510504e-01 2.35902220e-01
 4.00785983e-01 1.45791262e-01 1.52578622e-01 3.77906896e-02
 1.12551264e-01 4.57183272e-01 1.01237275e-01 9.13254842e-02
 0.00000000e+00 2.87451506e-01 2.79124200e-01 4.79490906e-02
 1.33002982e-01 2.39150599e-02 4.28352207e-01 1.89254716e-01
 3.35411727e-01 7.11010337e-01 2.74415612e-01 1.50858033e+00
 8.36148709e-02 1.70138806e-01 8.13160360e-01 0.00000000e+00
 1.08389214e-01 1.33682418e+00 3.54092896e-01 2.57593766e-02
 0.00000000e+00 5.51058501e-02 4.14451361e-02 0.00000000e+00
 4.12218094e-01 1.22254646e+00 1.13462664e-01 1.28421500e-01
 2.24835537e-02 3.74493092e-01 1.42689617e-02 2.74384599e-02
 6.00302964e-02 2.59370655e-01 1.53593108e-01 1.10910736e-01
 1.01375252e-01 2.81236351e-01 5.92430353e-01 1.90648183e-01
 1.02386490e-01 4.72885549e-01 6.12655997e-01 6.66826442e-02
 8.09870660e-01 1.33517936e-01 5.48569739e-01 3.99482608e-01
 0.00000000e+00 2.44423151e-02 2.20628917e-01 4.55341339e-01
 3.44852269e-01 1.00317942e-02 8.25452328e-01 1.06491134e-01
 5.01275957e-01 0.00000000e+00 5.28297186e-01 1.95102185e-01
 6.22219639e-03 3.64124775e-02 2.87362993e-01 1.57008171e-01
 4.34152067e-01 7.96548009e-01 1.61361992e-01 1.45207003e-01
 4.48949486e-01 7.20551834e-02 1.15676388e-01 4.25437808e-01
 8.76123190e-01 1.48731291e-01 6.69775367e-01 3.73187922e-02
 7.46223982e-03 5.00167273e-02 4.47047651e-01 1.99690446e-01
 4.73395526e-01 0.00000000e+00 1.37783512e-01 4.65276428e-02
 3.23742852e-02 1.19349938e-02 7.76641667e-02 2.09279016e-01
 2.01907381e-02 2.05195099e-02 0.00000000e+00 3.61241132e-01
 0.00000000e+00 1.44200671e+00 2.61194017e-02 0.00000000e+00
 6.10146046e-01 9.32109237e-01 0.00000000e+00 1.00414760e-01
 3.94995093e-01 1.58280343e-01 1.18988670e-01 1.44006452e-02
 4.38626796e-01 5.15551586e-03 2.93405037e-02 1.39738694e-01
 3.58228460e-02 8.32433719e-03 0.00000000e+00 4.74779606e-02
 2.56375998e-01 1.06173766e+00 7.41725713e-02 4.65798408e-01
 0.00000000e+00 8.44400562e-03 3.79775986e-02 0.00000000e+00
 4.79378039e-04 1.65560842e-02 1.04985499e+00 2.02164031e-03
 2.85457522e-01 1.97487101e-01 2.08284035e-01 9.69289422e-01
 7.50512704e-02 3.39364558e-02 1.45842969e-01 4.97627497e-01
 1.49581760e-01 5.09072803e-02 5.49410462e-01 0.00000000e+00
 1.48129925e-01 5.65206826e-01 5.82601607e-01 1.08457111e-01
 2.50040233e-01 1.40044653e+00 1.14965834e-01 1.47356063e-01
 1.64383262e-01 5.32398699e-03 8.29992592e-02 0.00000000e+00
 1.71227738e-01 5.45265973e-01 3.31858635e-01 7.36936554e-03
 7.67892540e-01 5.54640293e-01 1.33410301e-02 2.13309348e-01
 2.27231383e-01 8.53683352e-02 1.73436940e-01 1.72379577e+00
 3.16525660e-02 4.14456017e-02 2.99648076e-01 1.00476496e-01
 1.24861844e-01 0.00000000e+00 1.01863429e-01 4.42064255e-02
 9.08238813e-02 3.33023727e-01 6.42370701e-01 1.18321076e-01
 3.26073557e-01 1.36271238e+00 4.37768102e-01 3.83271307e-01
 3.74165662e-02 0.00000000e+00 1.08415592e+00 1.24855237e-02]"
걷기,"[0.37753223 0.25135711 0.21834417 0.60891551 0.09392939 0.08396052
 0.10069647 0.25416704 0.52046385 0.07561837 0.37629975 0.04520716
 0.18429938 0.48050148 0.28049855 0.13136713 0.03724845 0.07638433
 0.10620662 0.56783718 0.81151985 0.2082478  0.09185743 0.33465939
 0.58311626 0.0853731  0.33684541 0.03815373 0.43305613 0.27488871
 0.52845712 0.33297112 0.75076121 0.43902402 0.01291771 0.01727651
 0.06987372 0.56050827 0.38134465 0.         0.08813408 0.24448887
 0.0843593  0.36799932 0.59537511 0.35845105 0.42244902 0.2935974
 0.0787742  0.29479207 0.29590768 0.16076514 0.32023671 0.15002103
 0.23803657 0.11609067 0.18288779 0.         0.32154255 0.63571799
 0.20674305 0.18117377 0.25202854 0.17601582 0.1352642  0.32020256
 0.         0.         0.36561804 0.25129141 0.97457102 0.17002662
 0.         0.00972209 0.07887038 0.17455113 0.02054925 0.00374748
 0.16296699 0.37734283 0.00440244 0.03639521 0.04541013 0.61998999
 0.18483492 0.20856015 0.03814758 0.39103302 0.17087555 0.00300044
 0.17510018 0.17401698 0.18683217 0.24065712 0.40660121 0.09526992
 0.15968353 0.25493781 0.30394366 0.21411782 0.08967388 0.19357969
 0.33656306 0.4119505  0.28642715 0.18312236 0.03817021 0.227477
 0.31220853 0.04739974 0.21061394 0.05103268 0.13926187 0.09819693
 0.68012217 0.4081818  0.08797548 0.44369085 0.         0.27493896
 0.45349453 0.29588589 0.33971469 0.39847141 0.29284819 0.40154909
 0.41890767 0.54315163 0.0098546  0.36907563 0.         0.20234075
 0.07648357 0.20731451 0.62492487 0.01608112 0.38241062 0.35524133
 0.2122481  0.21303285 0.07861817 0.01340061 0.48332083 0.23374495
 0.14091912 0.52288355 0.73945859 0.11171048 0.0977971  0.01194051
 0.26602971 0.38520073 0.07473007 0.06698702 0.04945561 0.09008271
 0.         0.4990804  0.14109596 0.43756781 0.51355719 0.
 0.07957183 0.15314698 0.41561224 0.26483336 0.250786   0.05898543
 0.02888556 1.11253375 0.02788333 0.34735963 0.33690547 0.18518606
 0.01974061 0.50354964 0.10538425 0.01546443 0.46455121 0.58294937
 0.2627579  0.47654083 0.55894558 0.01573592 0.         0.03492424
 0.46362174 0.07491209 0.37220735 0.56499913 0.38796474 0.40509862
 0.93068543 0.04461909 0.5435311  0.01217675 0.12076762 0.
 0.12268269 0.37921819 0.74801207 0.07328952 0.338699   0.3412144
 0.1567526  0.40002805 0.555432   0.54489766 0.33387086 0.
 0.         0.18670625 0.13089134 0.04555601 0.63917831 0.04507814
 0.02376925 0.36236047 0.00657276 0.41099861 0.08290048 0.07887268
 0.2590121  0.04850555 0.0455791  0.06993891 0.10259958 0.18346637
 0.45318959 0.1680114  0.51253169 1.27877268 0.04129886 0.39474744
 0.29441002 0.58116978 0.01095718 0.23879101 0.01688922 0.16930896
 0.75719087 0.06775536 0.04199354 0.41104049 0.09993781 0.41242576
 0.22085704 0.16239095 0.16645184 0.28321689 0.28863816 0.29950774
 0.14480398 0.3002088  0.05812247 0.54870373 0.         0.16916806
 0.25669165 0.50972289 0.18476382 0.65235239 0.16927683 0.0232309
 0.03121802 0.08256848 0.2043797  0.09918842 0.         0.26508248
 0.36417348 0.18705048 0.         0.33218586 0.38112148 0.0060822
 0.50226071 0.3552042  0.41576014 0.40223217 0.28646301 0.40805924
 0.38468051 0.         0.05182105 0.02957035 0.54947953 0.23285576
 0.26853776 0.07420409 0.56580049 0.13925449 0.84589628 0.41237498
 0.10990793 0.46698192 0.23803781 0.0544806  0.34999568 0.39792582]"
걷기/등산,"[0.55663093 0.20229974 0.13526834 0.23505204 0.10614481 0.08808146
 0.96380532 0.12021766 0.25788544 0.1551593  0.63885306 0.13235946
 0.17621066 0.59009814 0.80434331 0.16667396 0.40547821 0.58076141
 0.22655749 0.87417679 0.24564229 0.28923779 0.10009848 0.38496414
 0.2004849  0.18905022 0.15542941 0.7272639  0.1183966  0.3132106
 0.14554716 0.14952754 0.40037269 0.15660075 0.86928523 0.11270034
 0.10176509 0.16140231 0.42313354 0.08990068 0.17267383 0.50924371
 0.49439507 0.14123154 0.23964931 0.78334777 0.28203478 0.33981086
 0.70253734 0.13426933 0.44898676 0.14626128 0.90601675 0.40925466
 0.41293005 0.08904087 0.19660227 0.08947799 0.15590885 0.18401789
 0.3935158  0.16891227 0.21175461 0.13535359 0.09519589 0.56144728
 0.04153791 0.03030074 0.47188878 0.21603763 0.19047474 0.29613458
 0.02935596 0.04835766 0.31346839 1.20717456 0.45994742 0.18401669
 0.47013101 0.51535515 0.05825337 0.04288206 0.10135112 0.40661991
 0.20571049 0.27911142 0.07513583 0.48929467 0.36756836 0.07061379
 0.13089978 0.06311557 0.44534816 0.21960478 0.69630878 0.0641653
 0.24809043 0.19836286 0.43685615 0.24623778 0.1238567  0.60327796
 0.18139545 0.36970479 0.50035669 0.21933543 0.34613088 0.39146327
 0.60424726 0.04939675 0.14407775 0.21267357 0.25157315 0.57173046
 0.44740078 0.3627015  0.27065847 0.33676517 0.08984322 0.21629897
 0.09906395 0.33926622 0.19397038 0.1238419  0.25877784 0.2167571
 0.73826813 0.77570074 0.28455162 0.20259246 0.07740809 0.27502119
 0.10949044 0.07501364 0.28615826 0.33054067 0.81017022 0.35682652
 0.51615825 0.32474704 0.12361937 0.12808129 0.29620529 0.21192056
 0.25433182 0.29814884 0.42934421 0.08129114 0.25429849 0.35444094
 0.13894579 0.12460538 0.28562024 0.2146752  0.15976552 0.22835705
 0.43307452 0.5485423  0.1703615  0.23212828 0.7018463  0.0391218
 0.30126376 0.17334349 0.31513733 0.10561313 0.203488   0.1205434
 0.02282543 0.447227   0.26251334 0.16744464 0.31204427 0.18609539
 0.23975768 0.29396123 0.14790607 0.05080456 0.38757017 0.39219087
 1.20330767 0.22839156 0.22802645 0.34932052 0.04514011 0.14341254
 0.30383242 0.09751972 0.08258743 0.36432448 0.47339082 0.40111429
 0.34628782 0.11724852 0.465435   0.16081117 0.70484845 0.06185701
 0.45274005 0.43989289 0.26780506 0.11355842 1.10461501 0.16768591
 0.29767499 0.45132293 0.57360706 0.53585801 0.31472535 0.15359443
 0.07250214 0.14119021 1.30529975 0.10932938 0.31001795 0.4965725
 0.5122966  0.18865693 0.22435519 0.11526593 0.23842996 0.44587974
 0.24012147 0.21378372 0.28897094 1.2243314  0.31701267 0.1556686
 0.16609103 0.1499814  0.51956968 0.34171118 0.09888744 0.17233039
 0.22827258 0.27721249 0.18309327 0.23136077 0.3829226  0.191781
 0.38054519 0.27818441 0.07549456 0.2720433  0.22222175 0.50094952
 0.07461306 0.4459222  1.16634355 0.18253822 0.36593291 0.55721994
 0.07208219 0.32382399 0.5329491  0.30117588 0.2572653  0.44818327
 0.47630625 0.38359475 0.44235235 0.49742343 0.13320405 0.19718555
 0.12893699 0.10514806 0.31925358 0.21075516 0.21596574 0.32600024
 0.22286764 0.57165792 0.29067866 0.17874918 0.1715116  0.21357336
 0.53972645 0.6405902  0.3628116  0.57895194 0.26557825 0.22105073
 0.19716017 0.02802617 0.08252232 0.23441549 0.23788964 0.28028789
 0.45894606 0.79233202 0.38801687 0.23189085 0.39134806 0.6120967
 0.76742224 0.20121947 0.26070863 0.62740296 0.94119233 0.33075701]"
